40598,ayash gulabi isxhqam manumbi akhuing
40599,paqo sxhe cardboard ayi sxhe
40600,Le hallaes senaa go bo doro dua
40601,ja ka un neme te doro net cchuren
40602,ja acce bo bika gogga gucham
40603,ja saattik khaella neyamam ajo maza diya jagga ne nnyu halles ajo wali
40604,ja gogga han baran siyama agar ggafa akuwayumba ka
40605,un ajo gukhar thathall ayet bae ka
40607,Bess ayi sxhe chhap she
40608,na shaghetan mull cce dis na darhkut bull cce dis
40609,ge ayi sheng naa
40610,jaa acce thosxh mobile an bim
40611,Ayar yatte depherhkan nawall cxoqa amana
40612,tayillhcc bathanan manisxh bulyainge baraan manisxh
40614,mo shua apu
40615,mo shum apu
40616,mo qabel apu
40617,mo naqaabel apu
40618,mo xoaas apu
40909,ajo chhap api
40910,momo mucxhan api
40912,vae ucxhan api
40920,ja asxhe be
40921,momo musxhe be
40922,ne sxhe be
40923,ve usxhe be
40924,se sxhe be
40925,tata saattik jagga awuyi
40926,tata saattik momogga muyi
40927,tata saattik negga uyi
41164,Bo baring echam
41166,Basha basha mayundua
41330,maatto ita ccheraan
41352,maatto khita ccheraan
41434,shumshere khatta gallu
41436,jimall khatta ccheremu
41437,yaarbullhtuk khatta nemu
41439,hepullhtuk khatta ccheremu
41440,maatto khatta ccheremu
41441,chakaatto khatta ccheremu
41442,chamarutto khatta ccheremu
41556,hepullhtuk yaara ccheraan
41557,hepullhtuk yatta ccheraan
41631,jimall ita ccheremu
41632,jimall yaara cchurimi
41633,jimall yatta cchurimi
41634,yaarbullhtuk dall yatta deemi
41635,yaarbullhtuk ita gali
41649,maatto yatta cchurimi
41664,taene yaara gali
41666,saattik khita gali
41667,saattik ita gali
41714,adite khita gali
41715,adite ita gali
41746,thamene khita gallu
41747,thamene ita gallu
41912,maatto yaara ccheremi
42001,maatto yatta ccheremi
42017,taene yatta nemi
42086,maatto khita cchurimi
42090,chakaatto khita cchurimi
42094,chamarutto khita cchurimi
42114,gucxattinga khita deemi
42123,bullhtuki ita deemi
42126,thape khita deemi
42134,angaro khita deemi
42667,hepullhtuk ne cchurimi
42668,hepullhtuk yatta walchimi
42669,hepullhtuk mo cchurumu
42670,maatto khita cchurumu
42672,maato dall yatta cchurumu
42673,maato khatt yaara cchurimi
42782,maato yatta cchurimi
42783,maatto yatta duwalhchimi
42784,maatto dall yatta duwalhchimi
42785,maatto yatta duwalchumu
42786,maatto yatta duwalchemen
42798,chakaatto khita xoaas bayi
42800,chakaatto gilhta ccheraan
42801,chakaatto khita xonng
42924,chakaatto yatta walhchimi
42925,chakaatto yatta ayi walhchimi
43064,thamene khita nemu
43065,thamene khita neaasccumu
43066,thamene khita nembiasccimi
43564,shaama yatta walchimi
43565,shaama yatta wallumbi
43566,gucxattinga khita domoomu
43852,bullhtuki khita walchimi
43853,bullhtuki khita wallumbi
43854,bullhtuki ita domoomu
43948,bullhtuki yatta walchimi
43949,bullhtuki yatta wallumbi
43950,thape khita domoomu
44204,ccandurare yatta walchimi
44205,ccandurare yatta wallumbi
44206,angaro khita domoomu
44974,Filhal kaman busy ba office ulle
44977,mi maa jua apaan le
44978,gogga bo mayimi
45003,gogga shakar mayimi
45004,momogga bo mayimi
45005,momogga ne mayimi
45009,momogga hek mayimi
45012,momogga wallhte mayimi
45014,momogga kam mayimi
45015,momogga butt mayimi
45016,momogga gaganum mayimi
45017,momogga biyenum mayimi
45018,momogga garoom mayimi
45019,momogga chaggorum mayimi
49897,Te yatte tthuko han ka bahllt an khatta lip atimi naa.
49898,Os chasxha wali nukkha bahna atumu.
49899,Han ka lip echa os isxhqa haranga wali nukkha bahna atumu.
49919,momogga paqo muwa
49920,momogga paqo amuwa
49923,momogga hoi eta
49924,momogga hoi cchuwa
49925,momogga hoi duchuwa
49929,momogga girinj eta
49930,momogga girinj cchuwa
49931,momogga girinj dicca
50144,go shumshere dang dia
50145,momo shumshere dang dia
50150,go berespate dang dia
50218,vae ajo paisa dia
50219,vae angaro omoos dia
50220,vae ccandurare omoos dia
50222,vae berespate omoos dia
50531,Jaa durdana cchel phat nete mel bota miyamba
50533,xakune baspur shei
50535,Xakune ishpit shechumbi
50537,Guke hawaazing bicca filhal khaasxh
50540,Ja acxo ajo akhosh
50541,Ja se xakun ajo cxham manumbi
50542,Xapaxap guccharchumbai
50543,ne halles kaat dohon be besa
50544,jagga gute sahi laga mayundua
50545,baqi guya ggan bo simba ka ja tegga hazir ba
50546,lala bo hal dua shua ba
50549,Lay besa akhi guwayumba
50550,Khai berozgaar hiren ja
50551,Awa gutey ulle shua dua
50554,Library ulle parhai echumbai
50558,Khene dost karachi ya bai 
50559,khenae kaat contact et ka
50560,showa sahi dova
50568,botan gosulle yanumba ggaan ka
50569,un ja hamesha masqara atumba
50570,fanng net masqara achumba un
50573,fanng daa bota le yah eta
50574,Ayet ley
50575,dunya khakkarumam le un
50577,ja un gosqayamba na le
50583,Warcca jaggachi biya api
50584,jeet guana senen bumbarak manisxh
50586,Akhi shua shua dia ka docc besa
50588,Bo tunn guwanumba le
50592,baring eta be guya nana mukaatt?
50593,Jaa men le
50598,bo zali ba ?
50599,akhuing ajo shua gunz an dua gute shahar ka ajo shua shahar an dua
50600,paqo sxhe
50601,cchel mene
50602,ja gamburi akkhosh
50603,ja guliab gamburi akkhosh
50604,ja cchella qaq amanamba
50605,un guwarumba
50606,un sxheli guwanumba
50607,ne giraashumbai
50608,ne girminchumbai
50609,nae giraashumbai
50610,nae girminchumbai
50611,paqo sxhe dan ayi sxhe
50612,jaa acce bo bika gogga gucham
50613,jaacce bo api
50614,jaa acce bi
50615,jaacce bi
50616,ja sattik huecxa neyamam ajo maza diya jagga
50617,un daa basha xo shua
50618,Javaayu 100 ggaring har jawaane etas dua le akhuyng shaam khasxh
50619,ja ne acxo ajo behell hallesen bayi
50620,tik aye sheng naa
50621,jaa acce thosxh penan bi
50622,Ayar yatte dapherhkan nawall cxoqaa amana
50623,bulle cchel nume cchuren gon
50624,Jawayu akhuyng shaam khasxh berum echa llayuman ka girminas dua te yate ja echam
50625,jaa acxhan api
50626,vae shaama paisa ayi deemi
50627,vae taene omoos ayi deemi
50628,vae thamene omoos ayi deemi
50629,vae te yarbullhtuk omoos ayi deemi
50630,vae yaarbullhtuk omoos ayi deemi
50631,vae gucxattinga omoos ayi deemi
50632,vae shaama omoos ayideemi
50633,gucxattinga ita nesxh
50634,gucxattinga yaara nesxh
50635,gucxattinga yatta nesxh
50636,doggoiki khita xosxh
50637,doggoiki ita xosxh
50638,doggoiki yaara xosxh
50639,shumshere yaara xosxh
50640,shumshere dalla xosxh
50641,te yaarbullhtuk yaara gallu
50642,te yaarbullhtuk yatta gallu
50643,hepullhtuk khita cchurumu
50644,hepullhtuk ita cchurumu
50645,chamarutto yaara cchurumu
50646,chamarutto yatta cchurumu
50647,chamarutto khita churumu
50648,Acxhan mani ka yasena ccheran
50649,Ja acxhan mani ka akhunng pindi ga ccheram
50650,Acxhan mani ka sayila diyashchan
50651,Baqi maya ka gaaning thum bo tai han shaaski hawaazan mishaaski ule dua ka te ka kaat kaat alag net etas dua
50652,Xo ja ka un hola ccheran
50653,ja chacha nicchu paqo esarcham ma pareshan amamaning
50654,nega bo senas dua gogga lloll duaa
50655,"News reporter wagera guwaya rai dua ka, Gute shoa option dua agar social guawaya rai dua ka"
50656,Akhilchu boka dia ka lip et 
50657,Guke saf han ya bicca akhollum yara zehn ule os
50658,Ajo zalim dua jan gute dunia Mes kattar meti da
50659,Awa ja message etamam internship xarurat dua nukkha
50660,hen dost Germany gga nembai Ms e gandi
50661,Gogga be negga message echam
50662,Khene bai tollum amutuk ane bai bokhabar
50663,Chachaa tasveeran docca guya
50664,theek dua ja baring echam
50665,Hir showa hir ba lekin basha basha gomoos guwayumba baqi showa ba
50666,ne hek ajo gudellumam ka kollo un
50667,jaa alchine gari ba un
50668,Le ajo preshaani duva yaar
50669,Fis fas jagganng ne khosh ayechumbai
50670,bo tournament an duam le
50671,ayi cchurumba shua un
50672,Tausa ccheraan ne niyaa
50673,daaya acho ka botan nuvell
50674,Jaa anum diya os
50675,thum mene bai in?
50676,saan saan senumam baring echam nekaatt nukkha
50677,ho ayi manunduaa hek ka baring nae kaatt?
50678,kkhabar yanaa naeccum
50679,un akkhatena ja thosxh echamba nukkha
50680,un guya baring etaas bam besaa
50681,Filhaal ja ajo awaramba office ulle
50682,ja ka lala shumsher khasxh cchuren shuaa
50683,mi maa jua bo llayen
50684,guya photo an ya docca akher
50685,bo mayimi
50686,ja ka baa akhi pindi yakalla
50687,nae berespate dang deemi
50688,go buddu dang deemi
50689,momo buddu dang deemi
50690,nae buddu dang deemi
50691,go ccandurare dang deemi
50692,momo ccandurare dang deemi
50693,ne ccandurare dang deemi
50694,go angaro dang deemi
50695,momo angaro dang deemi
50696,nae angaro dang deemi
50697,vae angaro dang deemi
50698,vae ccandurare dang deemi
50699,vae buddu omoos dia
50700,vae addite omoos dia
50701,nae shukuru dang dia
50702,nae shumshere dang dia
50703,go addite dang dia
50704,momo addite dang dia
50705,nae addite dang dia
50706,nae naegga gadaero seni
50707,nae momogga gadaero seni
50708,nae jagga gadaero seni
50709,nae segga gadaero seni
50710,nae se cxhena cchel aemeni
50711,nae gogga seni
50712,nae vaegga seni
50713,nae naegga seni
50714,nae momogga seni
50715,nae jagga seni
50716,nae saegga seni
50717,"cchor cchor, han tthuko an biaasccimi. Se tthuko bahlt yatte nuhurutt bahlt sxhe sxhe biasccimi."
50718,Tauruma yahlltary ballhas wawen domombu.
50719,Mo hun guaacxa tuni niya domombuasccumu. Te yatte botan numuma momo muhlchi tthuko yatta walimi.
50720,Ho dunesh etumbu ka guse tthuko behltum net sxhicxam? 
50721,"Te yatte yary domo tthuko ga qow etumbu ka,  lay tthukoo! ajo cxham amanamba han bahllt an khatta lip etaa"
50722,te yatte tthuko han lip echa os cchella wali thuman lip ata senumu. 
50723,"Teytte ballhas wawe tthukoga senumu ka lay tthuko guhlltaing horgo, guyates a chhangi neh lip et ka ajo giyaxcumbiye nukkha yaara tuni wal atumbu."
50724,"Ho tthuko nachaar ttir nima tainge horgo, yatise chhangi nete zall achum ka ya phaphara niwall dee tunicha wallumbi."
50725,"Ho wawe ghasxhap yatta pettek nupisha gatt net, ballda net niya traw."
50726,"Haalle nomo momes wal nomot senumbu ka, un gusay tthuko gha wal guan ja amemo nosar cchuram. "
50727,"Momese shua senumbu. Ballhas waw holla cheraagga, mo momes a botan numuma pettek dishuya tthuko holla duusumbi."
50728,Holla duus mo kyaki mogha akhuly tunichi ajo shua dua nukkha masqara nomot momo gattunz ekhara nuwell waw mo momes tunicha numuwash gatt atumbi.
50729,"Tauruma waw hollum domombu, domo se tthuko bia nukkha kkhabr yanumbu."
50730,"Tthuko waw masqara nomot momes mo muchar ulle, awa waaw! Bi senumbi. waw cxhew, akhuyng boota shua chap gare paqo mani nukkha."
50731,Ho wawe dallum jirmani khatta niya dell nithi shua taap netey tthuko bi nukkha momes dumuch te della muwashimbu. 
50732,"Momes cxicxigha muallumbu, boota siya mo waw mogha siya amo manumbu, ja goo gomes ba nukkha, boota siya te dell a kittori motundullum."
50733,Ballhas wawe shua domoster chape shua noyu thoro mo not ho qauv atumbu. Do ames ya xo ka akhuyng ajo dokoosuljaas ba nukkha. 
50734,"Tthuko ekharinga nuqas deembi. Paqo shua nisxhi, chhap a thoromo shua nusxhu waw mogha senumbi ka, waw! Ja haryasxh diya."
50735,Wawe senumu ka ya neh shohllty noko gatt yatte nuharya xo da bo simba paqo gosera. Tthuko cxhew nima ekharinga shua nuqas hainn atumbi.
50736,"Shohllty nee sam cce dee waw mogga qaw etumbi, do waw! Go gomes mo gattunz ja nuwell gomes tunicha muwashiyamam. "
50737,"Go lloll ya amota, jaa shua musxhiya, echuma akhilchu doroing akhollum elja senumbi."
50738,"Ho waw halle cxicxigha muwallumbu, amutu un mena fat gochamba, un masqara nat ja ames musxhimba nukkha. "
50739,"Tthuko, ya neh ana cheremba ka nukkha ttinz nidell, cxha nidell, ajo butt khushan nima trauv atimi eya hallaa."
50740,"Jaa nisxhi, go nisxhi bahllkashi phaanuus."
50741,naegga paqo uwa
50742,naegga paqo ayuwa
50743,naegga hoi eta
50744,naegga hoi cchuwa
50745,naegga hoi duchua
50746,naegga girinj ita
50747,addite ita deemi
50748,addite ita deembai
50749,addite ita deembi
50750,addite ita nembi
50751,addite ita nembu
50752,addite ita gallu
50753,addite ita ccheremu
50754,addite ita ccheraan
50755,addite ita neingea
50756,addite ita nemu
50757,addite ita neaasccumu
50758,addite ita nembiasccimi
50759,addite ita xo
50760,addite ita gali
50761,addite ita nemi
50762,addite ita duwali
50763,addite ita duwalimi
50764,addite ita duwalchimi
50765,addite ita duwalchumu
50766,addite ita duwalchemen
50767,addite ita duwallasccemen
50768,addite ita washi
50769,addite ita washimi
50770,addite ita washchemen
50771,addite ita washiaasccimi
50772,addite ita washimaan
50773,addite ita washchumaan
50774,addite ita wali
50775,addite ita walimi
50776,addite ita walchimi
50777,addite ita wallumbi
50778,addite yaara domoomu
50779,addite yaara deemi
50780,addite yaara deembai
50781,addite yaara deembi
50782,addite yaara nembi
50783,addite yaara nembu
50784,addite yaara gallu
50785,addite yaara ccheremu
50786,addite yaara ccheraan
50787,addite yaara neingea
50788,addite yaara nemu
50789,addite yaara neaasccumu
50790,addite yaara nembiasccimi
50791,addite yaara xo
50792,addite yaara gali
50793,addite yaara nemi
50794,addite yaara duwali
50795,addite yaara duwalimi
50796,addite yaara duwalchimi
50797,addite yaara duwalchumu
50798,addite yaara duwalchemen
50799,addite yaara duwallasccemen
50800,addite yaara washi
50801,addite yaara washimi
50802,addite yaara washchemen
50803,addite yaara washiaasccemen
50804,addite yaara washimaan
50805,addite yaara washchumaan
50806,addite yaara wali
50807,addite yaara walimi
50808,addite yaara walhchimi
50809,addite yaara wallumbi
50810,addite yatta domoomu
50811,addite yatta deemi
50812,addite yatta deembai
50813,addite yatta deembi
50814,addite yatta nembi
50815,addite yatta nembu
50816,addite yatta gallu
50817,addite yatta ccheremu
50818,berespate yatta ccheraan
50819,shumshere yatta neingya
50820,addite yatta nemu
50821,addite yatta neaasccumu
50822,addite yatta nembiasccimi
50823,addite yatta xo
50824,cchandurare yatta gali
50825,addite yatta nemi
50826,addite yatta duwali
50827,addite yatta duwalimi
50828,addite yatta ccheraan shuaa
50829,addite hun niya ccheren
50830,addite yatta duwalhchemen
50831,addite yatta duwallasccemen
50832,addite yatta washi
50833,addite yatta washimi
50834,addite yatta washchemen
50835,addite yatta washiaasccimi
50836,addite yatta washimaan
50837,addite yatta washchumaan
50838,addite yatta wali
50839,addite yatta walimi
50840,addite yatta walhchimi
50841,addite yatta wallumbi
50842,adit khaasxh echam shuaa
50843,ccandurare thappe cchel etas dua ja ajo awaramba 
50844,addite khatta gallu
50845,te yarbullhtuk khatta nemu
50846,akhuing ajo shum gunz an dua
50847,ja ka un neme te ddoro net cchuren
50848,nyu tati chay an eta seembayi
50849,akhuyng sham khaasxh mall bisaarchen shuaa
50850,balhas wawe tuni gga hun nigi ducchumu
50851,gamburimo duccaa shua
