"id","sentence"
1,"bo zali ba ?"
2,"akhuing ajo shua gunz an dua gute shahar ka ajo shua shahar an dua"
3,"paqo sxhe"
4,"cchel mene"
5,"ja gamburi akkhosh"
6,"ja guliab gamburi akkhosh"
7,"ja cchella qaq amanamba"
8,"un guwarumba"
9,"un sxheli guwanumba"
10,"ne giraashumbai"
11,"ne girminchumbai"
12,"nae giraashumbai"
13,"nae girminchumbai"
14,"ayash gulabi isxhqam manumbi akhuing"
15,"paqo sxhe dan ayi sxhe"
16,"Le halles sena go bo doro dua"
17,"ja ka un neme te doro net cchuren"
18,"jaa acce bo bika gogga gucham"
19,"jaacce bo api"
20,"jaa acce bi"
21,"jaacce bi"
22,"ja sattik khela neyamam ajo maza diya jagga, ne nnyu halles ajo wali"
23,"ja gogga han baran siyama agar ggafa akuwayumba ka"
24,"un ajo gukhar thathall ayet bae ka"
25,"Javaayu 100 ggaring har jawaane etas dua le akhuyng shaam khasxh"
26,"Bess aye sxhe chhap she"
27,"ne sheghetan mull cce dis na darhkut bull cce dis"
28,"ge aye sheng naa"
29,"jaa acce thosxh mobile an bim"
30,"Ayar yatte dapherhkan nawall cxoqaa amana"
31,"tayillcc bathanan manisxh bulyainge baraan manisxh"
32,"Jawayu akhuyng shaam khasxh berum echa llayuman ka girminas dua te yate ja echam"
33,"ajo chhap api"
34,"mo mucxhan api"
35,"jaa acxhan api"
36,"vae ucxhan api"
37,"vae shaama paisa ayideemi"
38,"vae taene omoos ayideemi"
39,"vae thamene omoos ayideemi"
40,"vae te yarbullhtuk omoos ayideemi"
41,"vae yaarbullhtuk omoos ayideemi"
42,"vae gucxattinga omoos ayideemi"
43,"vae shaama omoos ayideemi"
44,"jimall ita gali"
45,"jimall yaara gali"
46,"jimall yatta gali"
47,"yaarbullhtuk khita gali"
48,"yaarbullhtuk ita gali"
49,"hepullhtuk yaara ccheraan"
50,"hepullhtuk yatta ccheraan"
51,"maatto khita ccheraan"
52,"maatto ita ccheraan"
53,"maatto yaara ccheremi"
54,"taene yaara gali"
55,"taene yatta nemi"
56,"saattik khita gali"
57,"saattik ita gali"
58,"gucxattinga ita nesxh"
59,"gucxattinga yaara nesxh"
60,"gucxattinga yatta nesxh"
61,"doggoiki khita xosxh"
62,"doggoiki ita xosxh"
63,"doggoiki yaara xosxh"
64,"shumshere yaara xosxh"
65,"shumshere dalla xosxh"
66,"adite khita gali"
67,"adite ita gali"
68,"te yaarbullhtuk yaara gallu"
69,"te yaarbullhtuk yatta gallu"
70,"hepullhtuk khita cchurumu"
71,"hepullhtuk ita cchurumu"
72,"chamarutto yaara cchurumu"
73,"chamarutto yatta cchurumu"
74,"thamene khita gallu"
75,"thamene ita gallu"
76,"hepullhtuk yatta walimi"
77,"hepullhtuk yatta walchimi"
78,"hepullhtuk yatta wallumbi"
79,"maatto khita domoomu"
80,"maatto khita deemi"
81,"maatto khita deembai"
82,"maatto khita deembi"
83,"chakaatto khita domoomu"
84,"chakaatto khita deemi"
85,"chakaatto khita deembai"
86,"chakaatto khita deembi"
87,"chakaatto yatta walchimi"
88,"chakaatto yatta wallumbi"
89,"chamarutto khita domoombu"
90,"chamarutto khita deemi"
91,"thamene khita nemu"
92,"thamene khita neaasccumu"
93,"thamene khita nembiasccimi"
94,"shaama yatta walchimi"
95,"shaama yatta wallumbi"
96,"bullhtuki khita walchimi"
97,"bullhtuki khita wallumbi"
98,"bullhtuki ita domoomu"
99,"bullhtuki ita deemi"
100,"gucxattinga khita domoomu"
101,"gucxattinga khita deemi"
102,"bullhtuki yatta walchimi"
103,"bullhtuki yatta wallumbi"
104,"thape khita domoomu"
105,"thape khita deemi"
106,"ccandurare yatta walchimi"
107,"ccandurare yatta wallumbi"
108,"angaro khita domoomu"
109,"angaro khita deemi"
110,"gogga shakar mayimi"
111,"momogga bo mayimi"
112,"momogga ne mayimi"
113,"Ja durdana cchel phat nete mel bota meyamba"
114,"Acxhan mani ka yasena ccheran"
115,"xakune baspur shei"
116,"Ja acxhan mani ka akhunng pindi ga ccheram"
117,"Xakune ishpit shechumbi"
118,"Acxhan mani ka sayila diyashchan"
119,"Guke hawaazing bicca filhal khaasxh"
120,"Baqi maya ka gaaning thum bo tai han shaaski hawaazan mishaaski ule dua ka te ka kaat kaat alag net etas dua"
121,"Xo ja ka un hola ccheran"
122,"Ja acxo ajo akhosh"
123,"Ja se xakun ajo cxham manumbi"
124,"Xapaxap guccharchumbai"
125,"ne halles ajo shum bai ne kaat gucchar be"
126,"jagga gute sahi laga mayundua"
127,"baqi guya ggan bo simba ka ja tegga hazir ba"
128,"lala bo hal dua shua ba"
129,"ja chacha nicchu paqo esarcham ma pareshan amamaning"
130,"nega bo senas dua gogga lloll duaa"
131,"Lay besa akhi guwayumba"
132,"Khai berozgaar hiren ja"
133,"Awa gutey ulle shua dua"
134,"News reporter wagera guwaya rai dua ka, Gute shoa option dua agar social guawaya rai dua ka"
135,"Akhilchu boka dia ka lip et "
136,"Library ulle parhai echumbai"
137,"Guke saf han ya bicca akhollum yara zehn ule os"
138,"Ajo zalim dua jan gute dunia ... Mes kattar meti da"
139,"Awa ja message etamam internship xarurat dua nukkha"
140,"Khene dost karachi ya bai "
141,"khene kat contact et ka"
142,"showa sahi dova"
143,"hen dost Germany ga nembai Ms e gandi"
144,"Gogga be negga message echam"
145,"Khene bai tollum amutuk ane bai bokhabar"
146,"Chachaa tasveeran docca guya"
147,"theek dua ja baring echam"
148,"Hir showa hir ba lekin basha basha gomoos guwayumba baqi showa ba"
149,"botan gosulle yanumba ggaan ka"
150,"un ja hamesha masqara atumba"
151,"fanng nett masqara achumba un"
152,"ne hek ajo gudellumam ka kollo un"
153,"fanng daa botta le yah eta"
154,"Ayet ley"
155,"dunya khakkarumam le un"
156,"ja un gosqayamba na le"
157,"jaa alchine gari ba un"
158,"Le ajo preshaani duva yaar"
159,"Fis fas jagganng ne khosh ayechumbai"
160,"Warcca jaggachi reference api"
161,"jeet guana senen bumbarak manisxh"
162,"bo tournament an duam le"
163,"Akhi shua shua dia ka docc besa"
164,"ayi cchurumba shua un"
165,"Bo tunn guwanumba le"
166,"Tausa ccheraan ne niyaa"
167,"baring eta be guya nana mukaatt?"
168,"Jaa men le"
169,"daaya acho ka botan nuvell"
170,"Jaa anum diya os"
171,"thum mene bai in?"
172,"saan saan senumam baring echam nekaatt nukkha"
173,"Bo baring echam"
174,"ho ayi manunduaa hek ka baring nae kaatt?"
175,"Basha basha mayundua"
176,"kkhabar yanaa naeccum"
177,"un akkhatena ja thosxh echamba nukkha"
178,"un guya baring etaas bam besaa"
179,"Filhaal kaman busy ba office olle"
180,"adit khasxh echam shuaa"
181,"mi maa jua bo llayen"
182,"guya photo an ya docca akher"
183,"bo mayimi"
184,"ja ka baa akhi pindi yakalla"
185,"nae berespate dang deemi"
186,"go buddu dang deemi"
187,"momo buddu dang deemi"
188,"nae buddu dang deemi"
189,"go ccandurare dang deemi"
190,"momo ccandurare dang deemi"
191,"ne ccandurare dang deemi"
192,"go angaro dang deemi"
193,"momo angaro dang deemi"
194,"nae angaro dang deemi"
195,"vae angaro dang deemi"
196,"vae ccandurare dang deemi"
197,"vae ajo paisa dia"
198,"vae angaro omoos dia"
199,"vae ccandurare omoos dia"
200,"vae buddu omoos dia"
201,"vae berespate omoos dia"
202,"vae addite omoos dia"
203,"nae shukuru dang dia"
204,"go shumshere dang dia"
205,"momo shumshere dang dia"
206,"nae shumshere dang dia"
207,"go addite dang dia"
208,"momo addite dang dia"
209,"nae addite dang dia"
210,"go berespate dang dia"
211,"nae naegga gadaero seni"
212,"nae momogga gadaero seni"
213,"nae jagga gadaero seni"
214,"nae segga gadaero seni"
215,"nae segga gadaero seni"
216,"nae gogga seni"
217,"nae vaegga seni"
218,"nae naegga seni"
219,"nae momogga seni"
220,"nae jagga seni"
221,"nae saegga seni"
222,"cchor cchor, han tthuko an biaasccimi. Se tthuko bahlt yatte nuhurutt bahlt sxhe sxhe biasccimi."
223,"Tauruma yahlltary ballhas wawen domombu."
224,"Mo hun guaacxa tuni niya domombuasccumu. Te yatte botan numuma momo muhlchi tthuko yatta walimi."
225,"Ho dunesh etumbu ka guse tthuko behltum net sxhicxam? "
226,"Te yatte yary domo tthuko ga qow etumbu ka,  lay tthukoo! ajo cxham amanamba han bahllt an khatta lip etaa"
227,"teytte tthuko han lip echa os cchella wali thuman lip ata senumu. "
228,"Te yatte tthuko han ka bahllt an khatta lip atimi naa."
229,"Os chasxha wali nukkha bahna atumu."
230,"Han ka lip echa os isxhqa haranga wali nukkha bahna atumu."
231,"Teytte ballhas wawe tthukoga senumu ka lay tthuko guhlltaing horgo, guyates a chhangi neh lip et ka ajo giyaxcumbiye nukkha yaara tuni wal atumbu."
232,"Ho tthuko nachaar ttir nima tainge horgo, yatise chhangi nete zall achum ka ya phaphara niwall dee tunicha wallumbi."
233,"Ho wawe ghasxhap yatta pettek nupisha gatt net, ballda net niya traw."
234,"Haalle nomo momes wal nomot senumbu ka, un gusay tthuko gha wal guan ja amemo nosar cchuram. "
235,"Momese shua senumbu. Ballhas waw holla cheraagga, mo momes a botan numuma pettek dishuya tthuko holla duusumbi."
236,"Holla duus mo kyaki mogha akhuly tunichi ajo shua dua nukkha masqara nomot momo gattunz ekhara nuwell waw mo momes tunicha numuwash gatt atumbi."
237,"Tauruma waw hollum domombu, domo se tthuko bia nukkha kkhabr yanumbu."
238,"Tthuko waw masqara nomot momes mo muchar ulle, awa waaw! Bi senumbi. waw cxhew, akhuyng boota shua chap gare paqo mani nukkha."
239,"Ho wawe dallum jirmani khatta niya dell nithi shua taap netey tthuko bi nukkha momes dumuch te della muwashimbu. "
240,"Momes cxicxigha muallumbu, boota siya mo waw mogha siya amo manumbu, ja goo gomes ba nukkha, boota siya te dell a kittori motundullum."
241,"Ballhas wawe shua domoster chape shua noyu thoro mo not ho qauv atumbu. Do ames ya xo ka akhuyng ajo dokoosuljaas ba nukkha. "
242,"Tthuko ekharinga nuqas deembi. Paqo shua nisxhi, chhap a thoromo shua nusxhu waw mogha senumbi ka, waw! Ja haryasxh diya."
243,"Wawe senumu ka ya neh shohllty noko gatt yatte nuharya xo da bo simba paqo gosera. Tthuko cxhew nima ekharinga shua nuqas hainn atumbi."
244,"Shohllty nee sam cce dee waw mogga qaw etumbi, do waw! Go gomes mo gattunz ja nuwell gomes tunicha muwashiyamam. "
245,"Go lloll ya amota, jaa shua musxhiya, echuma akhilchu doroing akhollum elja senumbi."
246,"Ho waw halle cxicxigha muwallumbu, amutu un mena fat gochamba, un masqara nat ja ames musxhimba nukkha. "
247,"Tthuko, ya neh ana cheremba ka nukkha ttinz nidell, cxha nidell, ajo butt khushan nima trauv atimi eya hallaa."
248,"Jaa nisxhi, go nisxhi bahllkashi phaanuus."
249,"momogga paqo muwa"
250,"momogga paqo amuwa"
251,"naegga paqo uwa"
252,"naegga paqo ayuwa"
253,"momogga hoi eta"
254,"momogga hoi cchuwa"
255,"momogga hoi dicca"
256,"naegga hoi eta"
257,"naegga hoi cchuwa"
258,"naegga hoi dicca"
259,"momogga girinj ita"
260,"momogga girinj cchuwa"
261,"momogga girinj dicca"
262,"naegga girinj ita"
263,"momogga wallhte mayimi"
264,"momogga hek mayimi"
265,"momogga kam mayimi"
266,"momogga butt mayimi"
267,"momogga gaganum mayimi"
268,"momogga biyenum mayimi"
269,"momogga garoom mayimi"
270,"momogga chaggorum mayimi"
271,"addite ita deemi"
272,"addite ita deembai"
273,"addite ita deembi"
274,"addite ita nembi"
275,"addite ita nembu"
276,"addite ita gallu"
277,"addite ita ccheremu"
278,"addite ita ccheraan"
279,"addite ita neingea"
280,"addite ita nemu"
281,"addite ita neaasccumu"
282,"addite ita nembiasccimi"
283,"addite ita xo"
284,"addite ita gali"
285,"addite ita nemi"
286,"addite ita duwali"
287,"addite ita duwalimi"
288,"addite ita duwalchimi"
289,"addite ita duwalchumu"
290,"addite ita duwalchemen"
291,"addite ita duwallasccemen"
292,"addite ita washi"
293,"addite ita washimi"
294,"addite ita washchemen"
295,"addite ita washiaasccimi"
296,"addite ita washimaan"
297,"addite ita washchumaan"
298,"addite ita wali"
299,"addite ita walimi"
300,"addite ita walchimi"
301,"addite ita wallumbi"
302,"addite yaara domoomu"
303,"addite yaara deemi"
304,"addite yaara deembai"
305,"addite yaara deembi"
306,"addite yaara nembi"
307,"addite yaara nembu"
308,"addite yaara gallu"
309,"addite yaara ccheremu"
310,"addite yaara ccheraan"
311,"addite yaara neingea"
312,"addite yaara nemu"
313,"addite yaara neaasccumu"
314,"addite yaara nembiasccimi"
315,"addite yaara xo"
316,"addite yaara gali"
317,"addite yaara nemi"
318,"addite yaara duwali"
319,"addite yaara duwalimi"
320,"addite yaara duwalchimi"
321,"addite yaara duwalchumu"
322,"addite yaara duwalchemen"
323,"addite yaara duwallasccemen"
324,"addite yaara washi"
325,"addite yaara washimi"
326,"addite yaara washchemen"
327,"addite yaara washiaasccimi"
328,"addite yaara washimaan"
329,"addite yaara washchumaan"
330,"addite yaara wali"
331,"addite yaara walimi"
332,"addite yaara walchimi"
333,"addite yaara wallumbi"
334,"addite yatta domoomu"
335,"addite yatta deemi"
336,"addite yatta deembai"
337,"addite yatta deembi"
338,"addite yatta nembi"
339,"addite yatta nembu"
340,"addite yatta gallu"
341,"addite yatta ccheremu"
342,"addite yatta ccheraan"
343,"addite yatta neingea"
344,"addite yatta nemu"
345,"addite yatta neaasccumu"
346,"addite yatta nembiasccimi"
347,"addite yatta xo"
348,"addite yatta gali"
349,"addite yatta nemi"
350,"addite yatta duwali"
351,"addite yatta duwalimi"
352,"addite yatta duwalchimi"
353,"addite yatta duwalchumu"
354,"addite yatta duwalchemen"
355,"addite yatta duwallasccemen"
356,"addite yatta washi"
357,"addite yatta washimi"
358,"addite yatta washchemen"
359,"addite yatta washiaasccimi"
360,"addite yatta washimaan"
361,"addite yatta washchumaan"
362,"addite yatta wali"
363,"addite yatta walimi"
364,"addite yatta walchimi"
365,"addite yatta wallumbi"
366,"Filhal kamn busy ba office olay"
367,"adit khasxh echam shua"
368,"ccandurare thappe research paper submitt etas dua ajo halaating ttightt bicca"
369,"mi maa jua apaan le"
370,"gogga bo mayimi"
371,"maatto yatta gali"
372,"maatto yatta nemi"
373,"maatto yatta duwali"
374,"maatto yatta duwalimi"
375,"maatto yatta duwalchimi"
376,"maatto yatta duwalchumu"
377,"maatto yatta duwalchemen"
378,"shumshere khatta gallu"
379,"addite khatta gallu"
380,"jimall khatta ccheremu"
381,"yaarbullhtuk khatta ccheremu"
382,"teyarbullhtuk khatta ccheremu"
383,"hepullhtuk khatta ccheremu"
384,"maatto khatta ccheremu"
385,"chakaatto khatta ccheremu"
386,"chamarutto khatta ccheremu"
387,"ja asxhe be"
388,"momo musxhe be"
389,"ne sxhe be"
390,"ve usxhe be"
391,"se sxhe be"
392,"tata saattik jagga awui"
393,"tata saattik momogga muwui"
394,"tata saattik negga uwui"
395,"bo zali ba ?  akhuing ajo shua gunz an dua gute shahar ka ajo shua shahar an dua"
396,"ayash gulabi isxhqam manumbi akhuing"
397,"paqo sxhe cardboard ayi sxhe"
398,"Le halles sena go bo doro dua"
399,"ja ka un neme te ddoro net cchuren"
400,"ja acce bo bika gogga gucham"
401,"ja sattik khela neyamam ajo maza diya jagga ne nnyu halles ajo wali"
402,"ja gogga han baran siyama agar ggafa akuwayumba ka"
403,"un ajo gukhar thathall ayet be ka"
404,"Javayu 100 ggaring har jawane itas dua le akhuyng sham khasxh"
405,"Bess aye sxhe chhap she"
406,"ne sheghitan mull cce dis na darkut bull cce dis"
407,"ge aye sheng na"
408,"ja acce thosh mobile an bim"
409,"Ayar yatte dapherhkan nawall cxoqa amana"
410,"tayilc bathanan manisxh bulyainge baraan manisxh"
411,"Jawayu akhuyng sham khasxh berum echa layuman ka girminas dua  te yate ja echam"
412,"mo shua apu"
413,"mo shum apu"
414,"mo qabil apu"
415,"mo naqabel apu"
416,"mo gguriasxh apu"
417,"balhas wow shoa domuester ,shoa toro mot neth kau etum bu,du ames ya jo, akung ajo dokochuljas ba nokah k"
418,"ballhas wawe shua domostar shua thoromo net qaw etumbu do ames ya xo akhuing ajo dokosuljachamba nukha "